TenureGroup,用户数,流失人数,流失率,平均订单数,平均优惠券使用次数,平均使用App时长
0-6个月,2150,697,0.3241860465116279,2.496279069767442,1.5567441860465117,2.987441860465116
13-24个月,1467,95,0.06475800954328562,3.704839809134288,2.0156782549420584,2.936605316973415
24个月以上,429,0,0.0,3.5454545454545454,1.944055944055944,2.874125874125874
7-12个月,1584,156,0.09848484848484848,2.7474747474747474,1.595959595959596,2.8775252525252526
